id,numTel,etat,type de carte,Date d'activation,date d'expiration,date inscription,user,uptime,location,status
2060,0549422339,suspended,prepaid,2023-11-19,2024-11-18,2023-10-21,cbigot,135h,Agadir,offline
2061,+33423518166,suspended,postpaid,2025-01-12,2026-01-12,2024-12-30,margaret57,483h,Fès,offline
2062,0490499620,active,postpaid,2023-05-16,2024-05-15,2023-05-09,sebastien45,427h,Rabat,offline
2063,0536347085,inactive,postpaid,2024-12-19,2025-12-19,2024-11-23,marcel08,147h,Rabat,online
2064,0472146115,suspended,prepaid,2023-05-13,2024-05-12,2023-04-27,mlebon,238h,Marrakech,offline
2065,+33(0)485392967,suspended,prepaid,2023-12-30,2024-12-29,2023-12-10,jeanantoine,155h,Kenitra,offline
2066,+33(0)141527500,inactive,prepaid,2023-10-30,2024-10-29,2023-10-27,lombardwilliam,232h,Casablanca,online
2067,0465877826,suspended,prepaid,2023-05-02,2024-05-01,2023-04-22,lpelletier,27h,Kenitra,offline
2068,0660660024,inactive,postpaid,2024-12-14,2025-12-14,2024-12-13,wpoirier,338h,Casablanca,online
2069,+33475557674,active,postpaid,2024-07-05,2025-07-05,2024-06-26,ipons,449h,Fès,online
2070,+33536158610,suspended,postpaid,2024-08-27,2025-08-27,2024-08-24,philippeklein,73h,Tanger,offline
2071,0149368046,active,postpaid,2024-07-30,2025-07-30,2024-07-11,alfredleroy,112h,Casablanca,offline
2072,0457446836,inactive,prepaid,2024-05-07,2025-05-07,2024-04-07,michel32,415h,Oujda,offline
2073,+33(0)140847004,active,postpaid,2024-06-19,2025-06-19,2024-06-06,andreemarin,471h,Fès,offline
2074,+33(0)587974792,suspended,postpaid,2024-07-29,2025-07-29,2024-07-23,sparis,347h,Agadir,online
2075,+33610023386,active,postpaid,2023-12-03,2024-12-02,2023-11-11,couturieralexandre,69h,Oujda,online
2076,+33381668329,inactive,prepaid,2024-05-24,2025-05-24,2024-05-14,antoinemarchal,152h,Kenitra,online
2077,0262638821,inactive,prepaid,2024-08-03,2025-08-03,2024-07-21,hoarauxavier,70h,Kenitra,offline
2078,+33(0)744049482,suspended,postpaid,2025-03-09,2026-03-09,2025-02-20,blebon,239h,Agadir,offline
2079,0176717511,inactive,postpaid,2024-10-25,2025-10-25,2024-10-10,bazinolivie,236h,Casablanca,online
2080,+33485670856,inactive,prepaid,2023-09-03,2024-09-02,2023-08-09,ibruneau,386h,Marrakech,offline
2081,0630778679,active,postpaid,2024-02-05,2025-02-04,2024-01-10,eliselambert,65h,Fès,online
2082,+33(0)376125813,inactive,prepaid,2024-06-26,2025-06-26,2024-06-01,descampsphilippine,206h,Casablanca,offline
2083,0516877110,suspended,postpaid,2024-07-21,2025-07-21,2024-06-25,roger28,429h,Casablanca,online
2084,+33(0)172027328,inactive,prepaid,2023-05-19,2024-05-18,2023-05-17,audrey07,170h,Rabat,offline
2085,+33587208715,inactive,postpaid,2023-07-15,2024-07-14,2023-06-26,pierregimenez,442h,Casablanca,online
2086,+33(0)518923477,suspended,prepaid,2024-02-10,2025-02-09,2024-01-17,francoisjeannine,359h,Tanger,online
2087,+33(0)386145327,suspended,postpaid,2025-04-09,2026-04-09,2025-03-22,margotpotier,69h,Tanger,online
2088,+33(0)535356329,suspended,postpaid,2023-05-17,2024-05-16,2023-05-07,xboyer,368h,Casablanca,offline
2089,0172608918,suspended,prepaid,2024-11-19,2025-11-19,2024-10-30,gilles64,58h,Rabat,online
2090,+33142007411,suspended,prepaid,2025-03-01,2026-03-01,2025-02-24,qsauvage,266h,Rabat,online
2091,0488255346,active,postpaid,2024-09-01,2025-09-01,2024-08-25,clairelebrun,12h,Kenitra,offline
2092,+33(0)255543064,active,postpaid,2025-03-02,2026-03-02,2025-02-28,noeldaniel,207h,Kenitra,online
2093,0411773805,active,postpaid,2024-07-25,2025-07-25,2024-06-28,gilles91,420h,Kenitra,online
2094,+33180666297,active,prepaid,2023-06-20,2024-06-19,2023-06-06,carpentiermarie,94h,Marrakech,online
2095,0328575453,suspended,prepaid,2024-12-23,2025-12-23,2024-12-17,nlaunay,243h,Kenitra,offline
2096,0323995325,suspended,prepaid,2024-07-17,2025-07-17,2024-07-07,ulecomte,491h,Kenitra,offline
2097,+33516651621,inactive,postpaid,2025-02-18,2026-02-18,2025-01-27,simonehenry,197h,Rabat,offline
2098,+33(0)532528354,inactive,prepaid,2023-10-04,2024-10-03,2023-09-20,bernadette13,14h,Fès,offline
2099,+33(0)145732992,suspended,postpaid,2024-09-02,2025-09-02,2024-08-29,carlierdominique,5h,Fès,online
2100,+33(0)487459102,suspended,postpaid,2024-08-12,2025-08-12,2024-07-22,moreaumargaret,21h,Agadir,online
2101,+33(0)257227548,suspended,postpaid,2024-03-14,2025-03-14,2024-02-28,chretienthomas,141h,Casablanca,online
2102,0558825857,suspended,prepaid,2024-03-20,2025-03-20,2024-03-08,eleonore67,178h,Oujda,online
2103,0685431369,suspended,prepaid,2023-04-30,2024-04-29,2023-04-24,alexandriarousseau,180h,Agadir,offline
2104,+33467281291,active,postpaid,2024-01-22,2025-01-21,2023-12-30,michelle31,401h,Fès,offline
2105,+33(0)279303031,suspended,postpaid,2024-04-14,2025-04-14,2024-04-11,da-costarobert,192h,Kenitra,online
2106,+33236401408,suspended,postpaid,2024-11-14,2025-11-14,2024-10-26,ctessier,66h,Agadir,offline
2107,+33357720997,suspended,postpaid,2025-03-27,2026-03-27,2025-03-08,tnguyen,34h,Casablanca,online
2108,0540907651,suspended,prepaid,2024-04-03,2025-04-03,2024-03-06,kgodard,118h,Rabat,online
2109,+33(0)488782148,suspended,postpaid,2023-09-18,2024-09-17,2023-09-02,pottiertristan,165h,Tanger,online
2110,0426417186,active,postpaid,2023-07-02,2024-07-01,2023-06-28,honore30,386h,Oujda,online
2111,0426565597,suspended,postpaid,2023-06-02,2024-06-01,2023-05-31,nlejeune,58h,Casablanca,online
2112,0596065849,inactive,prepaid,2024-07-03,2025-07-03,2024-06-18,pregnier,472h,Marrakech,offline
2113,+33(0)180894261,suspended,postpaid,2023-08-26,2024-08-25,2023-08-22,dlefebvre,193h,Marrakech,online
2114,+33(0)178592500,inactive,postpaid,2024-07-07,2025-07-07,2024-06-30,baudryremy,224h,Fès,online
2115,0219607918,suspended,prepaid,2024-10-04,2025-10-04,2024-09-27,dbecker,222h,Tanger,online
2116,+33182928577,active,prepaid,2024-05-24,2025-05-24,2024-05-05,fredericbrun,104h,Casablanca,online
2117,+33471721611,active,postpaid,2024-01-06,2025-01-05,2023-12-08,cmathieu,396h,Oujda,online
2118,0471507544,active,postpaid,2023-09-13,2024-09-12,2023-09-02,adele96,97h,Tanger,offline
2119,+33(0)457624864,inactive,postpaid,2025-02-14,2026-02-14,2025-01-28,celinahenry,316h,Marrakech,online
2120,0498501822,inactive,postpaid,2025-04-09,2026-04-09,2025-03-25,fernandezzoe,447h,Rabat,online
2121,+33(0)486660497,suspended,postpaid,2024-08-04,2025-08-04,2024-07-30,josetteaubert,51h,Rabat,offline
2122,+33(0)635662112,active,postpaid,2025-02-12,2026-02-12,2025-02-04,maillotodette,11h,Tanger,offline
2123,0360919528,inactive,postpaid,2024-06-16,2025-06-16,2024-05-17,lopezvincent,360h,Agadir,online
2124,0149384124,active,postpaid,2024-12-04,2025-12-04,2024-11-06,aimee01,38h,Tanger,offline
2125,+33633419552,suspended,prepaid,2023-06-25,2024-06-24,2023-06-12,leon33,279h,Rabat,offline
2126,+33(0)582023211,inactive,prepaid,2023-04-17,2024-04-16,2023-03-18,upotier,16h,Agadir,offline
2127,0323170152,active,postpaid,2024-03-19,2025-03-19,2024-03-10,elodie70,454h,Casablanca,online
2128,0269533403,suspended,postpaid,2023-07-17,2024-07-16,2023-07-10,theodore65,473h,Casablanca,online
2129,+33(0)369637367,active,prepaid,2025-04-09,2026-04-09,2025-03-24,tfleury,177h,Rabat,offline
2130,0386924549,suspended,prepaid,2024-04-30,2025-04-30,2024-04-10,michelcolas,454h,Kenitra,online
2131,+33277890805,suspended,prepaid,2023-04-23,2024-04-22,2023-04-14,juliettepetitjean,53h,Casablanca,offline
2132,+33261172053,active,postpaid,2024-06-13,2025-06-13,2024-05-27,dumaslucas,220h,Kenitra,offline
2133,+33532224242,active,prepaid,2024-06-08,2025-06-08,2024-05-13,bouvierantoine,476h,Casablanca,online
2134,0141321477,active,postpaid,2024-12-20,2025-12-20,2024-11-25,vincentleon,349h,Casablanca,offline
2135,+33(0)252920234,inactive,postpaid,2024-07-21,2025-07-21,2024-07-19,noelrodrigues,356h,Marrakech,offline
2136,+33(0)177671543,inactive,prepaid,2024-11-02,2025-11-02,2024-10-10,herveclaire,59h,Kenitra,online
2137,0470069475,suspended,postpaid,2023-09-13,2024-09-12,2023-08-15,bousquetcamille,180h,Tanger,offline
2138,0298988921,active,prepaid,2025-02-27,2026-02-27,2025-02-13,riouhenriette,118h,Rabat,online
2139,+33(0)382220071,inactive,prepaid,2023-06-15,2024-06-14,2023-06-07,lucasdelahaye,410h,Casablanca,online
2140,0687851126,active,prepaid,2024-11-23,2025-11-23,2024-10-27,mturpin,29h,Marrakech,offline
2141,+33235510064,inactive,prepaid,2023-08-11,2024-08-10,2023-08-05,duvalgeorges,160h,Agadir,online
2142,+33468007552,active,postpaid,2024-03-02,2025-03-02,2024-02-21,mrey,245h,Rabat,online
2143,+33(0)362112376,inactive,prepaid,2024-09-04,2025-09-04,2024-09-01,honoremarion,253h,Agadir,online
2144,+33(0)183275472,suspended,postpaid,2024-06-25,2025-06-25,2024-06-10,uherve,482h,Agadir,offline
2145,+33463791337,suspended,prepaid,2023-06-22,2024-06-21,2023-05-25,gpottier,269h,Fès,offline
2146,0582847174,suspended,prepaid,2024-12-11,2025-12-11,2024-11-18,orodrigues,27h,Agadir,offline
2147,0389387625,suspended,postpaid,2023-07-27,2024-07-26,2023-07-04,ndelattre,143h,Rabat,online
2148,+33(0)147298972,active,prepaid,2024-07-11,2025-07-11,2024-06-11,ipelletier,156h,Tanger,online
2149,0218554104,suspended,prepaid,2024-11-25,2025-11-25,2024-11-13,michele55,18h,Tanger,offline
2150,+33258992476,inactive,prepaid,2024-03-26,2025-03-26,2024-03-05,ipaul,10h,Kenitra,online
2151,0296155760,inactive,postpaid,2024-10-01,2025-10-01,2024-09-22,elisabethgomez,153h,Rabat,online
2152,+33359288687,suspended,postpaid,2024-04-26,2025-04-26,2024-04-17,olliviercorinne,253h,Casablanca,offline
2153,0323060493,inactive,prepaid,2023-11-13,2024-11-12,2023-10-31,alix47,114h,Tanger,offline
2154,+33170165722,suspended,postpaid,2024-03-24,2025-03-24,2024-03-18,bodingilles,272h,Casablanca,offline
2155,+33245562132,suspended,postpaid,2023-05-18,2024-05-17,2023-05-16,victoire46,479h,Casablanca,offline
2156,+33487182170,inactive,prepaid,2023-12-28,2024-12-27,2023-11-28,techerchristophe,387h,Casablanca,offline
2157,0379845187,suspended,postpaid,2023-10-27,2024-10-26,2023-10-03,marguerite25,443h,Oujda,online
2158,+33557772567,active,postpaid,2024-02-21,2025-02-20,2024-01-26,williamlemonnier,487h,Fès,offline
2159,+33(0)155233058,suspended,postpaid,2024-02-15,2025-02-14,2024-02-01,pasquiermargaret,83h,Oujda,offline
2160,0636755854,active,prepaid,2024-02-06,2025-02-05,2024-01-13,charlesallain,464h,Casablanca,offline
2161,+33134364764,suspended,postpaid,2023-05-19,2024-05-18,2023-04-23,rdevaux,43h,Tanger,offline
2162,+33(0)457304757,suspended,postpaid,2023-05-13,2024-05-12,2023-05-02,julie08,19h,Fès,offline
2163,0463160944,suspended,postpaid,2024-12-28,2025-12-28,2024-12-19,lucycamus,400h,Casablanca,online
2164,0352217353,suspended,postpaid,2024-05-28,2025-05-28,2024-05-18,astridclerc,428h,Fès,online
2165,0369414092,inactive,prepaid,2025-02-27,2026-02-27,2025-02-12,tanguyzoe,225h,Casablanca,offline
2166,0458536254,inactive,postpaid,2024-04-03,2025-04-03,2024-04-01,smarty,326h,Tanger,offline
2167,0444250931,suspended,prepaid,2023-07-14,2024-07-13,2023-07-12,adriennemartinez,141h,Agadir,online
2168,+33(0)231080780,active,postpaid,2024-10-23,2025-10-23,2024-10-08,mathildemahe,392h,Fès,offline
2169,0485856074,inactive,prepaid,2024-02-05,2025-02-04,2024-01-08,matthieucoste,116h,Marrakech,online
2170,+33(0)442462282,suspended,prepaid,2024-07-19,2025-07-19,2024-06-21,helenenoel,119h,Rabat,online
2171,+33(0)248136995,suspended,postpaid,2024-12-24,2025-12-24,2024-12-18,jacquescouturier,296h,Agadir,online
2172,0327104943,suspended,prepaid,2024-04-26,2025-04-26,2024-04-08,hortensebaron,31h,Fès,offline
2173,+33(0)491542949,suspended,postpaid,2023-06-23,2024-06-22,2023-06-22,blancluce,276h,Casablanca,online
2174,0489804126,active,prepaid,2023-06-29,2024-06-28,2023-06-17,beckereleonore,259h,Kenitra,online
2175,+33339384133,active,prepaid,2024-11-26,2025-11-26,2024-11-09,samsonsusanne,104h,Agadir,offline
2176,0471544811,suspended,postpaid,2023-12-09,2024-12-08,2023-11-12,dmasse,36h,Oujda,offline
2177,+33222185008,active,postpaid,2023-12-22,2024-12-21,2023-12-17,gerardmaryse,310h,Agadir,offline
2178,0245286656,suspended,postpaid,2025-01-20,2026-01-20,2025-01-06,edouard54,240h,Fès,online
2179,+33607648260,inactive,prepaid,2024-02-25,2025-02-24,2024-02-19,ldumas,148h,Marrakech,online
2180,0251354046,suspended,prepaid,2024-01-03,2025-01-02,2023-12-30,mathilde81,413h,Agadir,offline
2181,0491585186,inactive,prepaid,2023-07-30,2024-07-29,2023-07-23,huguesruiz,336h,Marrakech,offline
2182,0615938409,suspended,prepaid,2024-04-14,2025-04-14,2024-03-20,pfleury,489h,Rabat,online
2183,+33324085766,suspended,postpaid,2024-03-09,2025-03-09,2024-02-19,fdelmas,275h,Rabat,online
2184,0241614995,inactive,postpaid,2023-07-01,2024-06-30,2023-06-11,thomas22,162h,Fès,online
2185,+33633607159,suspended,postpaid,2024-09-16,2025-09-16,2024-08-20,lamyhugues,466h,Tanger,offline
2186,+33(0)442844600,inactive,prepaid,2024-03-17,2025-03-17,2024-03-09,bmartel,233h,Agadir,online
2187,+33(0)221730013,active,postpaid,2024-06-23,2025-06-23,2024-05-31,mchevallier,375h,Oujda,offline
2188,0586193017,inactive,prepaid,2023-06-05,2024-06-04,2023-06-02,operon,468h,Agadir,offline
2189,0467083398,active,postpaid,2024-06-04,2025-06-04,2024-05-15,petitjulie,402h,Oujda,online
2190,+33411407673,active,prepaid,2023-06-23,2024-06-22,2023-06-04,michelle92,397h,Oujda,online
2191,0443796996,inactive,postpaid,2023-12-11,2024-12-10,2023-11-21,georgesbertrand,174h,Agadir,online
2192,+33(0)241698794,inactive,postpaid,2024-08-30,2025-08-30,2024-08-27,ibenoit,258h,Marrakech,offline
2193,0634286528,active,prepaid,2024-10-01,2025-10-01,2024-09-10,bimbert,448h,Kenitra,online
2194,0630299293,active,postpaid,2023-11-20,2024-11-19,2023-11-14,susanguichard,134h,Kenitra,online
2195,0255400880,active,postpaid,2024-07-16,2025-07-16,2024-07-11,sgauthier,12h,Marrakech,online
2196,0139069815,suspended,postpaid,2023-05-23,2024-05-22,2023-05-18,victor94,462h,Oujda,offline
2197,+33297609116,inactive,prepaid,2023-10-31,2024-10-30,2023-10-26,scollet,364h,Fès,online
2198,+33(0)243748769,inactive,prepaid,2023-09-28,2024-09-27,2023-09-17,patriciapereira,369h,Casablanca,online
2199,+33355712234,inactive,postpaid,2024-05-31,2025-05-31,2024-05-07,plegros,466h,Oujda,offline
2200,0383915309,inactive,postpaid,2023-05-01,2024-04-30,2023-04-07,grossi,387h,Kenitra,online
2201,+33(0)230899348,active,prepaid,2023-10-29,2024-10-28,2023-10-05,vmarchand,77h,Casablanca,offline
2202,0236827757,suspended,postpaid,2024-03-09,2025-03-09,2024-02-16,launaymargaux,194h,Agadir,offline
2203,+33(0)258552555,suspended,postpaid,2024-06-23,2025-06-23,2024-06-17,augergerard,483h,Rabat,online
2204,0386448611,inactive,postpaid,2023-10-28,2024-10-27,2023-10-18,anastasiecamus,24h,Oujda,offline
2205,+33153691286,inactive,postpaid,2024-09-20,2025-09-20,2024-09-09,blanchetsusan,387h,Marrakech,online
2206,0751840148,suspended,prepaid,2024-02-11,2025-02-10,2024-02-09,qbrunet,220h,Fès,offline
2207,0153231856,inactive,postpaid,2023-05-22,2024-05-21,2023-05-18,massonluce,84h,Rabat,offline
2208,+33(0)473623375,inactive,postpaid,2023-05-14,2024-05-13,2023-05-05,loiseauines,114h,Marrakech,offline
2209,0240210595,inactive,prepaid,2023-06-03,2024-06-02,2023-05-04,meyergabriel,473h,Tanger,offline
2210,+33(0)238944035,active,prepaid,2024-12-12,2025-12-12,2024-12-07,olacroix,282h,Marrakech,online
2211,+33(0)773317221,active,prepaid,2024-01-02,2025-01-01,2023-12-13,ferrandlucy,3h,Kenitra,online
2212,+33(0)229568595,active,postpaid,2023-08-04,2024-08-03,2023-07-23,philippe94,482h,Oujda,offline
2213,0299278958,active,postpaid,2024-03-31,2025-03-31,2024-03-14,georgesdeschamps,151h,Rabat,online
2214,+33(0)596544477,inactive,postpaid,2023-04-22,2024-04-21,2023-04-07,laurentgirard,134h,Rabat,online
2215,+33(0)488084975,suspended,prepaid,2024-01-01,2024-12-31,2023-12-23,nevrard,495h,Agadir,online
2216,0390482947,active,prepaid,2024-07-13,2025-07-13,2024-06-19,laetitiabuisson,167h,Marrakech,offline
2217,+33518037986,inactive,prepaid,2024-11-07,2025-11-07,2024-10-29,cdumont,361h,Agadir,online
2218,+33(0)457085543,active,postpaid,2023-05-27,2024-05-26,2023-05-13,edouard25,97h,Casablanca,online
2219,0413003445,active,postpaid,2024-10-08,2025-10-08,2024-09-30,andreelaunay,446h,Tanger,online
2220,+33296396557,inactive,prepaid,2024-11-26,2025-11-26,2024-11-17,petitdanielle,248h,Marrakech,offline
2221,0339347126,active,prepaid,2025-02-13,2026-02-13,2025-02-03,kpelletier,325h,Rabat,online
2222,+33(0)228308903,inactive,prepaid,2023-12-28,2024-12-27,2023-12-27,maryse83,251h,Tanger,online
2223,+33695473908,inactive,postpaid,2024-12-23,2025-12-23,2024-12-21,rogerchevallier,314h,Oujda,online
2224,+33(0)540716332,inactive,postpaid,2023-05-13,2024-05-12,2023-04-22,ibesson,271h,Marrakech,offline
2225,+33579848667,active,postpaid,2024-09-07,2025-09-07,2024-08-11,susan03,342h,Kenitra,offline
2226,+33322589760,suspended,postpaid,2023-10-09,2024-10-08,2023-09-13,emmanuellethibault,306h,Agadir,offline
2227,0173368261,active,prepaid,2023-11-19,2024-11-18,2023-11-09,capucine37,57h,Fès,offline
2228,+33388336125,inactive,prepaid,2024-08-07,2025-08-07,2024-07-23,delannoysuzanne,339h,Oujda,online
2229,0368269252,inactive,postpaid,2024-07-23,2025-07-23,2024-07-17,qrossi,338h,Rabat,offline
2230,0385473293,inactive,prepaid,2025-02-09,2026-02-09,2025-01-17,clecoq,396h,Kenitra,offline
2231,0382250449,inactive,prepaid,2023-08-16,2024-08-15,2023-07-27,techerjulie,14h,Fès,offline
2232,+33563743620,active,postpaid,2023-12-06,2024-12-05,2023-11-19,qleconte,31h,Agadir,offline
2233,0256657654,inactive,postpaid,2024-04-15,2025-04-15,2024-03-24,odettelejeune,200h,Kenitra,offline
2234,0449356316,inactive,prepaid,2024-07-06,2025-07-06,2024-06-23,josephantoine,137h,Kenitra,online
2235,+33(0)359014273,suspended,prepaid,2025-01-08,2026-01-08,2024-12-28,vbenoit,157h,Kenitra,offline
2236,0235114347,suspended,prepaid,2024-09-27,2025-09-27,2024-09-19,josette09,274h,Tanger,online
2237,+33(0)638809305,suspended,postpaid,2024-12-19,2025-12-19,2024-11-29,agregoire,66h,Casablanca,online
2238,0490242762,inactive,prepaid,2024-10-31,2025-10-31,2024-10-05,umarty,399h,Agadir,offline
2239,0649986480,suspended,prepaid,2024-06-15,2025-06-15,2024-05-21,clairealves,335h,Casablanca,online
2240,+33745587251,suspended,prepaid,2024-07-22,2025-07-22,2024-07-10,xmaillot,80h,Oujda,online
2241,+33(0)361846540,active,postpaid,2025-02-13,2026-02-13,2025-02-03,leonberger,169h,Oujda,online
2242,+33(0)498089020,suspended,prepaid,2025-03-07,2026-03-07,2025-02-17,bdelattre,481h,Casablanca,online
2243,0277009464,active,prepaid,2023-10-25,2024-10-24,2023-09-27,louisecourtois,256h,Oujda,offline
2244,+33218511632,active,postpaid,2024-03-07,2025-03-07,2024-03-05,chantalbaudry,154h,Casablanca,online
2245,+33739727894,suspended,prepaid,2023-11-21,2024-11-20,2023-10-31,ogallet,17h,Fès,online
2246,0321463067,inactive,postpaid,2023-04-21,2024-04-20,2023-03-25,vriou,67h,Fès,online
2247,+33432750641,active,postpaid,2023-05-30,2024-05-29,2023-05-27,perrieranastasie,10h,Casablanca,online
2248,+33555724315,suspended,postpaid,2024-12-23,2025-12-23,2024-12-19,hgallet,99h,Fès,offline
2249,+33561197854,suspended,prepaid,2023-05-23,2024-05-22,2023-05-09,christopheberger,154h,Fès,offline
2250,+33(0)387622928,active,postpaid,2024-10-15,2025-10-15,2024-10-08,nicolas70,496h,Kenitra,offline
2251,0629695053,inactive,prepaid,2023-11-06,2024-11-05,2023-10-27,regnierleon,113h,Oujda,offline
2252,+33188516517,inactive,prepaid,2025-03-02,2026-03-02,2025-02-14,christianebesson,195h,Casablanca,offline
2253,0488954763,inactive,postpaid,2024-12-30,2025-12-30,2024-12-06,kmarchal,390h,Rabat,offline
2254,+33(0)251897709,suspended,prepaid,2023-11-25,2024-11-24,2023-11-17,gilbert05,203h,Tanger,offline
2255,0596038917,inactive,prepaid,2023-04-23,2024-04-22,2023-04-11,susanne92,329h,Fès,offline
2256,+33614585722,suspended,prepaid,2024-11-15,2025-11-15,2024-11-10,agnes94,48h,Marrakech,online
2257,+33143018044,inactive,prepaid,2024-12-24,2025-12-24,2024-11-26,ileblanc,42h,Marrakech,offline
2258,0174027017,inactive,prepaid,2023-08-21,2024-08-20,2023-08-01,xnguyen,30h,Kenitra,offline
2259,+33(0)258783543,inactive,postpaid,2023-09-13,2024-09-12,2023-08-30,alixlefebvre,427h,Marrakech,online
2260,+33(0)389480495,suspended,postpaid,2024-02-13,2025-02-12,2024-02-02,abertrand,446h,Casablanca,offline
2261,0371350554,active,postpaid,2023-09-05,2024-09-04,2023-08-13,christine97,279h,Kenitra,offline
2262,0488779397,active,postpaid,2024-03-15,2025-03-15,2024-02-23,gaymarcel,236h,Kenitra,online
2263,0323114383,active,postpaid,2024-07-09,2025-07-09,2024-06-09,edith94,358h,Rabat,offline
2264,0442340475,active,prepaid,2024-03-13,2025-03-13,2024-03-08,bourgeoisalix,266h,Rabat,online
2265,+33658015132,inactive,prepaid,2023-10-25,2024-10-24,2023-10-18,drenault,19h,Oujda,offline
2266,+33298158550,suspended,postpaid,2024-05-03,2025-05-03,2024-04-27,upayet,71h,Oujda,offline
2267,0466495927,inactive,prepaid,2024-04-06,2025-04-06,2024-04-05,lelievrethibaut,222h,Fès,offline
2268,0229351407,inactive,postpaid,2024-01-24,2025-01-23,2024-01-07,roland04,288h,Marrakech,online
2269,0276189085,suspended,prepaid,2024-01-01,2024-12-31,2023-12-22,noemi18,411h,Agadir,offline
2270,0565214601,inactive,prepaid,2024-04-11,2025-04-11,2024-03-26,lerouxelodie,479h,Agadir,online
2271,0356479504,suspended,postpaid,2024-04-06,2025-04-06,2024-03-31,guyonjosette,5h,Agadir,offline
2272,0477384624,active,postpaid,2024-01-24,2025-01-23,2024-01-18,zimbert,34h,Casablanca,offline
2273,0492684542,active,prepaid,2025-02-04,2026-02-04,2025-01-12,guilletalexandrie,355h,Rabat,offline
2274,+33(0)262734242,active,prepaid,2024-02-23,2025-02-22,2024-02-12,bertrandroger,319h,Kenitra,online
2275,0532460806,inactive,prepaid,2023-11-05,2024-11-04,2023-11-02,opicard,176h,Casablanca,online
2276,0250377288,inactive,postpaid,2024-03-11,2025-03-11,2024-03-02,lefortcamille,299h,Fès,offline
2277,0695546683,inactive,postpaid,2024-09-04,2025-09-04,2024-08-15,oceanemuller,287h,Tanger,online
2278,0562071322,active,prepaid,2024-11-07,2025-11-07,2024-10-19,bretonclaudine,374h,Tanger,offline
2279,0456882245,inactive,prepaid,2023-06-04,2024-06-03,2023-05-29,marianne40,64h,Oujda,offline
2280,0487600340,suspended,postpaid,2023-12-04,2024-12-03,2023-11-15,theodore89,494h,Kenitra,online
2281,0735218505,active,prepaid,2024-06-08,2025-06-08,2024-06-02,nathalieleclercq,110h,Rabat,online
2282,0427587735,active,postpaid,2024-09-10,2025-09-10,2024-09-05,pmichel,447h,Casablanca,offline
2283,+33269914787,active,prepaid,2023-05-03,2024-05-02,2023-04-30,christianepetit,261h,Kenitra,offline
2284,0480703695,inactive,postpaid,2024-08-24,2025-08-24,2024-08-02,suzanneklein,154h,Rabat,online
2285,0296737078,inactive,postpaid,2024-06-12,2025-06-12,2024-05-25,da-costaanne,396h,Oujda,offline
2286,0564134907,inactive,postpaid,2024-09-26,2025-09-26,2024-09-14,madeleinebigot,271h,Rabat,online
2287,+33(0)358908113,suspended,postpaid,2024-08-10,2025-08-10,2024-08-04,ydupre,364h,Marrakech,offline
2288,0545810280,inactive,postpaid,2024-10-08,2025-10-08,2024-09-20,paulribeiro,355h,Fès,online
2289,+33(0)545318901,inactive,postpaid,2023-08-26,2024-08-25,2023-08-08,carolinepetitjean,91h,Casablanca,offline
2290,0250311302,inactive,postpaid,2024-11-16,2025-11-16,2024-10-19,marinemuller,372h,Oujda,online
2291,0519972494,suspended,prepaid,2023-10-14,2024-10-13,2023-09-24,laurent20,195h,Agadir,online
2292,0233331595,suspended,prepaid,2024-12-29,2025-12-29,2024-11-29,kleincapucine,100h,Kenitra,offline
2293,+33285188006,active,prepaid,2024-10-09,2025-10-09,2024-09-22,sthibault,300h,Fès,offline
2294,0492267056,inactive,postpaid,2023-12-24,2024-12-23,2023-12-20,sophiesauvage,257h,Casablanca,offline
2295,+33(0)806205366,suspended,postpaid,2023-07-09,2024-07-08,2023-07-07,vincenttraore,328h,Kenitra,offline
2296,+33(0)533984748,suspended,postpaid,2024-10-15,2025-10-15,2024-10-13,ncarre,140h,Casablanca,online
2297,+33358244259,suspended,postpaid,2025-04-16,2026-04-16,2025-03-19,leblancsophie,311h,Kenitra,offline
2298,0252053897,inactive,prepaid,2024-11-06,2025-11-06,2024-10-31,le-gofffrederique,19h,Agadir,online
2299,+33491182449,suspended,prepaid,2024-10-16,2025-10-16,2024-09-26,thierry08,361h,Marrakech,online
2300,0561264059,inactive,prepaid,2023-09-18,2024-09-17,2023-09-15,lucylebreton,28h,Kenitra,online
2301,+33388739954,active,postpaid,2023-10-31,2024-10-30,2023-10-20,martine18,436h,Tanger,online
2302,+33(0)490487796,suspended,postpaid,2024-11-29,2025-11-29,2024-11-18,gilletemmanuelle,459h,Marrakech,offline
2303,0415342233,active,postpaid,2023-09-03,2024-09-02,2023-08-17,hdumas,213h,Casablanca,online
2304,0322349801,suspended,prepaid,2025-02-13,2026-02-13,2025-02-06,gilles07,373h,Fès,online
2305,+33(0)371653428,inactive,prepaid,2023-12-07,2024-12-06,2023-12-01,rodriguesodette,141h,Tanger,offline
2306,+33(0)484033727,suspended,prepaid,2024-03-19,2025-03-19,2024-03-13,jpierre,159h,Fès,offline
2307,+33298042346,inactive,postpaid,2025-01-07,2026-01-07,2025-01-03,deschampsmarguerite,290h,Rabat,offline
2308,+33579758543,active,prepaid,2024-02-23,2025-02-22,2024-02-20,buissondavid,93h,Rabat,online
2309,0147202293,suspended,prepaid,2023-10-16,2024-10-15,2023-10-05,duprecorinne,392h,Marrakech,online
